Address,City,SquareFootage,Acreage,AskingPrice,SalePrice,SaleDate,Agent
48023 Pearl Street,Louisville,"1,438",0.3,"$206,519.46 ","$165,339.48 ",2/9/2020,Timothy Case
73842 Hartford Road,Louisville,"1,116",0.8,"$204,486.93 ","$170,153.57 ",10/10/2020,Timothy Case
72026 Franklin Court,Richmond,"2,471",0.3,"$385,942.45 ","$367,262.84 ",2/12/2020,Timothy Case
12946 Cypress Court,Louisville,"2,614",0.6,"$335,311.31 ","$303,926.17 ",2/23/2020,Trevon Lutz
84565 Mill Street,Lexington,"9,355",8.2,"$1,540,675.28 ","$1,405,095.86 ",5/12/2020,Tristan Blevins
12033 Warren Street,St. Matthews,"2,752",0.1,"$404,719.17 ","$334,581.34 ",4/17/2020,Judith Moreno
96422 6th Street West,Frankfort,"2,030",0.1,"$284,708.28 ","$256,265.93 ",11/15/2020,Deven Payne
78793 Marshall Street,Covington,"2,923",0.7,"$367,653.58 ","$296,071.43 ",2/28/2020,Tristan Blevins
36776 Atlantic Avenue,Louisville,"5,175",0.6,"$615,556.43 ","$591,980.62 ",8/3/2020,Judith Moreno
79180 Sherwood Drive,Covington,"1,902",0.4,"$279,883.34 ","$226,229.70 ",9/5/2020,Ivan Cordova
93402 Catherine Street,Jeffersontown,"2,596",0.7,"$425,316.15 ","$392,439.21 ",11/10/2020,Payton Evans
19724 Lexington Court,Louisville,"1,678",0.5,"$234,716.31 ","$194,908.42 ",9/11/2020,Deven Payne
82866 Heather Court,Louisville,"2,433",0.4,"$368,956.17 ","$345,933.30 ",12/21/2020,Tristan Blevins
72481 Cardinal Drive,Covington,"1,256",0.7,"$199,055.34 ","$170,948.73 ",9/20/2020,Judith Moreno
12113 3rd Street East,Lexington,"2,128",0.5,"$265,276.80 ","$227,076.94 ",8/29/2020,Trevon Lutz
90548 7th Avenue,Jeffersontown,"9,528",0.6,"$1,203,374.67 ","$968,235.26 ",5/27/2020,Timothy Case
26986 York Street,Florence,"2,299",0.5,"$345,198.98 ","$336,776.13 ",1/21/2020,Payton Evans
48929 Fawn Lane,St. Matthews,"1,175",0.7,"$213,791.96 ","$200,600.99 ",4/18/2020,Trevon Lutz
80164 Dogwood Lane,Jeffersontown,"2,750",0.9,"$377,296.38 ","$372,693.36 ",4/28/2020,Tristan Blevins
46152 Park Avenue,Georgetown,"1,382",0.3,"$203,786.68 ","$196,552.25 ",12/6/2020,Priscilla Jackson
26450 1st Street,Florence,"1,025",1,"$215,401.22 ","$207,905.26 ",1/8/2020,Trevon Lutz
85246 Roberts Road,Lexington,"1,931",0.5,"$294,003.67 ","$284,889.56 ",9/8/2020,Hazel Richardson
67824 Lake Avenue,Georgetown,"1,520",0.9,"$275,084.16 ","$234,069.11 ",4/29/2020,Timothy Case
76285 Delaware Avenue,Erlanger,"1,710",0.9,"$225,630.90 ","$220,057.81 ",7/13/2020,Payton Evans
77970 Street Road,Louisville,"2,112",0.1,"$306,971.90 ","$246,651.92 ",3/13/2020,Payton Evans
28310 Lafayette Street,Jeffersontown,"2,123",0.5,"$324,349.09 ","$288,735.56 ",9/30/2020,Tristan Blevins
36821 Somerset Drive,Lexington,"1,106",0.9,"$183,841.33 ","$176,800.21 ",8/25/2020,Payton Evans
